repository_name,site,views,unique_visitors/cloners
data-service-landscape-scan,github.com,1,1
figstats,github.com,2,1
github-stats,github.com,1,1
LD-Cool-P,Google,7,3
LD-Cool-P,ldcoolp-figshare.readthedocs.io,4,1
LD-Cool-P,github.com,1,1
ldcoolp-figshare,github.com,1,1
ReBACH,github.com,3,1
redata-commons,github.com,3,1
redata-docs,github.com,1,1
redata-iac,github.com,1,1
ReM,gist.github.com,15,7
ReM,github.com,1,1
ReQUIAM,github.com,4,2
ReQUIAM,Google,1,1
ReQUIAM_csv,github.com,1,1
uptime,github.com,2,1
